iter	Passed	Remaining
0	1	137
1	2	132
2	3	128
3	4	119
4	6	116
5	7	113
6	8	111
7	9	109
8	10	109
9	11	107
10	13	105
11	14	104
12	15	103
13	16	102
14	17	100
15	19	100
16	20	99
17	21	97
18	22	95
19	23	94
20	24	92
21	26	92
22	27	91
23	28	89
24	29	88
25	30	87
26	31	85
27	32	84
28	34	83
29	35	82
30	36	80
31	37	79
32	38	78
33	39	77
34	40	75
35	42	74
36	43	73
37	44	72
38	45	71
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	51	63
45	53	62
46	54	61
47	55	60
48	56	58
49	57	57
50	58	56
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	71	43
62	72	42
63	73	41
64	74	40
65	75	39
66	77	37
67	78	36
68	79	35
69	80	34
70	81	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	90	25
78	91	24
79	92	23
80	93	22
81	95	20
82	96	19
83	97	18
84	99	17
85	100	16
86	101	15
87	103	14
88	104	12
89	105	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	116	1
99	117	0
